Tipo;Ano;Valor
C&L;2015;15222.61
Consultorias;2015;402000.0
Correios;2015;165.98000000000002
Divulgação;2015;31520.0
Hospedagem;2015;706.54
Passagens Aéreas;2015;116502.35999999996
S/D;2015;2700.0
Telefonia;2015;10089.759999999998
C&L;2016;35187.35
Consultorias;2016;240000.0
Correios;2016;211.83999999999997
Divulgação;2016;113740.0
Escritório;2016;264.5
Locação de Carro;2016;8000.0
Passagens Aéreas;2016;63781.77000000004
S/D;2016;92200.0
Telefonia;2016;4466.5
C&L;2017;35614.020000000004
Consultorias;2017;432000.0
Correios;2017;451.67
Divulgação;2017;65000.0
Passagens Aéreas;2017;134878.66000000015
S/D;2017;41180.0
Telefonia;2017;2129.3900000000003
