Tipo;Ano;Valor
Alimentação;2015;5419.78
C&L;2015;48861.59999999999
Correios;2015;3926.35
Divulgação;2015;459300.0
Escritório;2015;50997.479999999996
Hospedagem;2015;3314.99
Passagens Aéreas;2015;54519.39999999999
S/D;2015;51900.0
Taxi;2015;17.5
Telefonia;2015;6141.829999999999
Alimentação;2016;1611.8400000000001
C&L;2016;76274.70999999999
Consultorias;2016;56300.0
Correios;2016;5301.120000000001
Divulgação;2016;443500.0
Escritório;2016;21241.8
Hospedagem;2016;971.02
Passagens Aéreas;2016;68983.6400000001
S/D;2016;107000.0
Taxi;2016;27.0
Telefonia;2016;5057.88
Alimentação;2017;155.0
C&L;2017;61886.17
Consultorias;2017;12000.0
Correios;2017;7773.08
Divulgação;2017;273120.0
Escritório;2017;676.76
Hospedagem;2017;9522.46
Passagens Aéreas;2017;80912.88000000002
S/D;2017;238000.0
Telefonia;2017;4955.71
